SRR6431605,msd1_stage_4_SS
SRR6431606,msd1_stage_4_SS
SRR6431607,msd1_stage_4_PS
SRR6431608,msd1_stage_4_PS
SRR6431609,msd1_stage_4_PS
SRR6431610,msd1_stage_4_SS
SRR6431611,msd1_stage_1
SRR6431612,msd1_stage_3
SRR6431613,msd1_stage_3
SRR6431614,msd1_stage_3
SRR6431615,BTX623_stage_4_SS
SRR6431616,BTX623_stage_4_PS
SRR6431617,BTX623_stage_3
SRR6431618,BTX623_stage_1
SRR6431619,BTX623_stage_1
SRR6431620,BTX623_stage_1
SRR6431621,BTX623_stage_4_PS
SRR6431622,BTX623_stage_4_PS
SRR6431623,BTX623_stage_3
SRR6431624,BTX623_stage_3
SRR6431625,msd1_stage_1
SRR6431626,msd1_stage_1
SRR6431627,BTX623_stage_4_SS
SRR6431628,BTX623_stage_4_SS
SRR6431629,BTX623_stage_5_PS
SRR6431630,BTX623_stage_5_PS
SRR6431631,BTX623_stage_5_SS
SRR6431632,BTX623_stage_5_PS
SRR6431633,BTX623_stage_5_SS
SRR6431634,BTX623_stage_5_SS
SRR6431635,msd1_stage_5_SS
SRR6431636,msd1_stage_5_PS
SRR6431637,msd1_stage_5_PS
SRR6431638,msd1_stage_5_PS
SRR6431639,msd1_stage_5_SS
SRR6431640,msd1_stage_5_SS
