	Animal-associated_4698	Animal-associated_4840	Coastal_sea_water_274	Marine_1086	Animal-associated_3849	Animal-associated_3691	Animal-associated_3685	Marine_1092	Hot_spring_260	Animal-associated_4854	Oceanic_pelagic_zone_248	Animal-associated_3875	Animal-associated_3861	Animal-associated_4868	Animal-associated_4883	Animal-associated_3134	Animal-associated_3652	Marine_5223	Marine_1045	Marine_1051	Animal-associated_4129	Animal-associated_3646	Animal-associated_2558	Marine_5237	Animal-associated_4897	Animal-associated_3120	Animal-associated_3108	Animal-associated_4667	Marine_1079	Animal-associated_4101	Animal-associated_2570	Animal-associated_4115	Animal-associated_2564	Animal-associated_4673	Animal-associated_3493	Animal-associated_2955	Animal-associated_710	Oceanic_gyre_704	Sewage_1290	Animal-associated_3487	Animal-associated_2941	Animal-associated_2799	Animal-associated_2969	Coastal_sea_water_1247	Animal-associated_3450	Animal-associated_2996	Animal-associated_4459	Animal-associated_3336	Animal-associated_1521	Saline_water_1535
Animal-associated_3487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.23011	1	1	1	1	1	1	1	0.295981	1	0.23011	0.295981	1	1	1	1	1	1	1	0.210897	0.203604	1	1	1	0	0.203604	0.243761	0.219531	1	0.243761	0.219531	1	1	1	1
Animal-associated_2941	1	1	1	1	1	1	1	1	0.295981	0.295981	1	1	1	1	1	0.243761	1	1	1	1	1	1	1	1	0.295981	0.295981	0.219531	0.295981	1	0.295981	1	1	1	1	0.23011	0.182269	1	0.263022	1	0.203604	0	1	0.186761	1	0.203604	0.197292	1	1	1	1
Animal-associated_2799	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	0.243761	1	0	1	1	0.295981	1	1	1	1	1
Animal-associated_2969	1	1	1	1	1	1	1	1	0.295981	1	0.295981	1	1	1	1	0.263022	1	1	1	1	1	1	1	1	1	0.295981	0.243761	0.295981	1	0.295981	1	1	1	1	0.219531	0.197292	1	0.263022	1	0.219531	0.186761	1	0	1	0.197292	0.23011	1	1	1	1
Coastal_sea_water_1247	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
Animal-associated_3450	1	1	0.295981	1	1	1	1	1	0.295981	1	1	1	1	1	1	0.243761	1	1	1	1	1	1	1	1	1	1	0.191731	0.295981	1	0.295981	1	1	1	1	0.197292	0.191731	1	0.263022	1	0.243761	0.203604	0.295981	0.197292	1	0	0.210897	0.295981	1	1	1
Animal-associated_2996	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	0.243761	1	1	1	1	1	1	1	1	1	1	0.23011	1	1	1	1	1	1	1	0.210897	0.178173	1	1	1	0.219531	0.197292	1	0.23011	1	0.210897	0	1	1	1	1
Animal-associated_4459	0.263022	0.263022	1	1	0.295981	1	1	1	1	0.263022	1	1	1	1	0.243761	1	1	1	1	1	1	1	1	1	0.263022	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	0	1	1	1
Animal-associated_3336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
Animal-associated_1521	0.295981	1	1	1	1	1	1	1	1	0.295981	1	1	1	0.295981	1	0.295981	1	1	1	1	1	1	1	1	0.295981	1	0.295981	0.295981	1	1	1	1	1	0.295981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Saline_water_1535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
