	Marine_206	Marine_207	Marine_208	Marine_209	Marine_210	Marine_211	Marine_212	Marine_213	Marine_214	Marine_215	Marine_216	Marine_217	Marine_218	Marine_219	Marine_220	Marine_221	Marine_222	Marine_223	Marine_224	Marine_225	Marine_226	Marine_227	Marine_228	Marine_229	Marine_230	Marine_231	Marine_232	Marine_233
Marine_229	0.295981	0.0820539	1	0.080322	0.263022	0.0642645	0.295981	0.0537328	0.295981	0.0560862	0.295981	0.052714	0.295981	0.0533217	0.263022	0.0515304	0.295981	0.0444041	0.295981	0.0319897	0.263022	0.0533217	1	0	1	1	1	0.12214

Marine_230	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.130979	1	1

Marine_231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.130979	0	1	1

Marine_232	0.051337	1	0.0680698	1	0.0882637	1	0.0867434	1	0.0898429	1	0.0882637	1	0.0914855	1	0.0926182	1	0.0656822	1	0.0893096	1	0.0690061	1	0.0903831	1	1	1	0	1

Marine_233	1	0.0683793	1	0.0690061	1	0.102997	1	0.0987984	1	0.0974869	1	0.0909306	1	0.0974869	1	0.109331	1	0.101551	1	0.12827	1	0.0807479	1	0.12214	1	1	1	0

