sample_id	biome
1083	Marine
1084	Marine
1085	Marine
1086	Marine
1087	Marine
1088	Marine
1089	Marine
1090	Marine
1091	Marine
1092	Marine
1093	Marine
1094	Marine
1095	Marine
1096	Marine
1097	Marine
1098	Marine
1099	Marine
1100	Marine
1101	Marine
1102	Marine
1103	Marine
1104	Marine
1105	Marine
1106	Marine
1107	Marine
1108	Marine
1109	Marine
1110	Marine
1111	Marine
1112	Marine
1113	Marine
1114	Marine
1115	Marine
1116	Marine
1117	Marine
1118	Marine
1119	Marine
1120	Marine
1121	Marine
1122	Marine
1123	Marine
1124	Marine
1125	Marine
1126	Marine
1127	Marine
1128	Marine
1129	Marine
1130	Marine
1131	Marine
1132	Marine
1133	Marine
1134	Marine
1135	Marine
1136	Marine
1137	Marine
1138	Marine
1139	NA
1140	NA
1141	Coastal sea water
1142	Coastal sea water
1143	Coastal sea water
1144	Coastal sea water
1145	Coastal sea water
1146	Coastal sea water
1147	Animal-associated
1148	Animal-associated
1149	Animal-associated
1150	Animal-associated
1151	Animal-associated
1152	Animal-associated
1153	Beach sand
1154	Coastal sea water
1155	Coastal sea water
1156	Coastal sea water
1157	Coastal sea water
1158	Coastal sea water
1159	Coastal sea water
1160	Coastal sea water
1161	Coastal sea water
1162	Oceanic gyre
1163	Oceanic gyre
1164	Oceanic gyre
1165	Oceanic gyre
1166	Oceanic gyre
1167	Oceanic gyre
1168	Oceanic gyre
1169	Oceanic gyre
1170	Oceanic gyre
1171	Oceanic gyre
1172	Oceanic gyre
1173	Oceanic gyre
1174	Oceanic gyre
1175	Oceanic gyre
1176	Oceanic gyre
1177	Oceanic gyre
1178	Oceanic gyre
1179	Oceanic gyre
1180	Oceanic gyre
1181	Oceanic gyre
1182	Oceanic gyre
1183	Oceanic gyre
1184	Oceanic gyre
1185	Oceanic gyre
1186	Oceanic gyre
1187	Oceanic gyre
1188	Oceanic gyre
1189	Oceanic gyre
1190	Marine sediment
1191	Marine sediment
1192	Marine sediment
1193	Marine sediment
1194	Marine sediment
1195	Sewage
1196	Sewage
1197	Sewage
1198	Sewage
1199	Sewage
1200	Sewage
1201	Air
1202	Air
1207	Saline evaporation pond
1208	Saline evaporation pond
1209	Saline evaporation pond
1210	Saline evaporation pond
1211	Saline evaporation pond
1212	Saline evaporation pond
1213	Saline evaporation pond
1214	Saline evaporation pond
1215	Saline evaporation pond
1216	Saline evaporation pond
1217	Saline evaporation pond
1218	Saline evaporation pond
1219	Saline evaporation pond
1220	Saline evaporation pond
1221	Saline evaporation pond
1222	Saline evaporation pond
1223	Saline evaporation pond
1224	Saline evaporation pond
1225	Saline evaporation pond
1226	Saline evaporation pond
1227	Saline evaporation pond
1228	Saline evaporation pond
1229	Saline evaporation pond
1230	Saline evaporation pond
1231	Saline evaporation pond
1232	Saline evaporation pond
1233	Saline evaporation pond
1234	Saline evaporation pond
1235	Saline evaporation pond
1236	Saline evaporation pond
1237	Saline evaporation pond
1238	Saline evaporation pond
1241	Coastal sea water
1242	Coastal sea water
1243	Coastal sea water
1244	Coastal sea water
1245	Coastal sea water
1246	Coastal sea water
1247	Coastal sea water
1248	Coastal sea water
1249	Marine
1250	Marine
1253	Marine
1254	Animal-associated
1255	Animal-associated
1256	Animal-associated
1257	Animal-associated
1258	Animal-associated
1259	Animal-associated
1260	Animal-associated
1261	Animal-associated
1262	Animal-associated
1263	Animal-associated
1264	Animal-associated
1265	Animal-associated
1266	Animal-associated
1267	Animal-associated
1268	Animal-associated
1269	Animal-associated
1270	Animal-associated
1271	Animal-associated
1272	Animal-associated
1273	Animal-associated
1274	Animal-associated
1275	Animal-associated
1276	Hot spring
1277	Hot spring
1278	NA
1279	NA
1280	NA
1281	Lake sediment
1282	Lake sediment
1283	Lake sediment
1284	Lake sediment
1285	Lake sediment
1286	Sewage
1287	Sewage
1288	Sewage
1289	Sewage
1290	Sewage
1291	Sewage
1292	Sewage
1293	Sewage
1294	Sewage
1295	Sewage
1296	Sewage
1297	Sewage
1298	Sewage
1299	Sewage
1300	Marine
1301	Marine
1302	Marine
1303	Marine
1304	Marine
1305	Marine
1306	Marine
1307	Marine
1308	Marine
1309	Marine
1310	Marine
1311	Marine
1312	Marine
1313	Marine
1314	Marine
1315	Marine
1316	Marine
1317	Marine
1318	Marine
1319	Marine
1320	Marine
1321	Marine
1322	Marine
1323	Marine
1324	Marine
1325	Marine
1326	Marine
1327	Marine
1328	Marine
1329	Marine
1330	Animal-associated
1331	Animal-associated
1332	Animal-associated
1333	Freshwater lake
1334	Freshwater lake
1335	Freshwater lake
1336	Freshwater lake
1337	Freshwater lake
1338	Freshwater lake
1339	Freshwater lake
1340	Freshwater lake
1341	Freshwater lake
1342	Freshwater lake
1343	Freshwater lake
1344	Freshwater lake
1345	Freshwater lake
